history_id,department,severity,tier,days_overdue,safety_risk_flag,punctuality_impact_score,requested_duration_hours,granted_duration_hours,was_consolidated,actual_incident_avoided,ground_truth_priority
HIST-00001,S&T,Critical,Tier-2 Main,7,1,58,3.4,2.4,1,1,79.1
HIST-00002,Traction,Critical,Tier-1 Trunk,7,1,94,3.0,2.4,1,1,90.9
HIST-00003,S&T,Minor,Tier-1 Trunk,14,0,27,3.5,2.7,0,1,39.0
HIST-00004,Engineering,Minor,Tier-1 Trunk,2,0,34,1.7,3.1,1,1,29.7
HIST-00005,Engineering,Minor,Tier-2 Main,12,0,15,3.0,3.2,1,1,23.6
HIST-00006,Engineering,Critical,Tier-1 Trunk,9,1,40,3.6,3.2,0,1,84.7
HIST-00007,Traction,Major,Tier-2 Main,5,1,56,3.2,1.2,1,1,64.7
HIST-00008,S&T,Critical,Tier-1 Trunk,8,1,58,3.2,3.1,0,1,83.8
HIST-00009,Engineering,Minor,Tier-2 Main,12,0,27,2.9,2.8,0,0,34.4
HIST-00010,Traction,Minor,Tier-2 Main,4,0,26,1.8,2.9,1,1,25.0
HIST-00011,S&T,Major,Tier-2 Main,11,1,47,1.6,1.3,1,1,69.4
HIST-00012,S&T,Major,Tier-1 Trunk,12,0,89,2.8,3.4,0,0,53.4
HIST-00013,Engineering,Major,Tier-2 Main,8,0,73,2.6,3.4,1,1,42.7
HIST-00014,S&T,Minor,Tier-2 Main,3,0,29,3.6,2.3,0,1,24.0
HIST-00015,Engineering,Major,Tier-2 Main,16,0,71,2.4,3.5,0,1,45.7
HIST-00016,Engineering,Minor,Tier-3 Branch,2,0,41,3.5,3.4,1,0,15.8
HIST-00017,Engineering,Major,Tier-3 Branch,5,1,84,3.4,2.7,1,0,68.0
HIST-00018,S&T,Major,Tier-1 Trunk,16,0,61,2.1,1.8,1,0,52.6
HIST-00019,S&T,Critical,Tier-1 Trunk,20,1,37,3.6,1.2,0,1,94.4
HIST-00020,Traction,Major,Tier-1 Trunk,4,0,90,2.1,2.2,0,1,52.6
HIST-00021,Engineering,Major,Tier-1 Trunk,13,0,36,1.7,2.0,0,0,45.7
HIST-00022,Engineering,Critical,Tier-1 Trunk,14,1,47,2.6,1.7,0,1,84.5
HIST-00023,Engineering,Major,Tier-3 Branch,17,1,31,3.6,1.4,0,1,72.3
HIST-00024,Traction,Critical,Tier-1 Trunk,1,1,51,2.4,3.5,0,1,79.8
HIST-00025,Traction,Major,Tier-2 Main,23,0,92,3.9,2.4,1,1,52.4
HIST-00026,Traction,Critical,Tier-2 Main,16,1,50,1.6,2.3,0,1,86.5
HIST-00027,Engineering,Major,Tier-2 Main,7,0,61,1.7,2.6,1,0,38.1
HIST-00028,Traction,Critical,Tier-2 Main,7,1,63,2.5,2.7,0,1,78.6
HIST-00029,Traction,Major,Tier-2 Main,2,1,42,2.2,3.3,0,0,64.4
HIST-00030,Traction,Major,Tier-1 Trunk,17,0,31,3.2,2.4,1,1,52.5
HIST-00031,Engineering,Major,Tier-3 Branch,23,0,64,2.4,2.7,0,0,41.1
HIST-00032,Traction,Minor,Tier-2 Main,2,0,37,3.6,1.1,0,0,24.0
HIST-00033,S&T,Minor,Tier-1 Trunk,14,0,45,1.8,3.4,1,0,39.8
HIST-00034,S&T,Critical,Tier-1 Trunk,17,1,48,2.6,1.1,0,1,90.3
HIST-00035,Engineering,Minor,Tier-1 Trunk,7,0,16,3.7,3.4,1,1,30.3
HIST-00036,Engineering,Minor,Tier-3 Branch,25,0,21,3.7,1.1,1,0,29.6
HIST-00037,Traction,Minor,Tier-3 Branch,25,0,25,1.8,3.2,0,1,27.0
HIST-00038,Traction,Major,Tier-2 Main,7,1,54,2.5,1.7,0,1,72.4
HIST-00039,Traction,Major,Tier-2 Main,21,0,72,3.9,1.4,0,1,50.3
HIST-00040,S&T,Major,Tier-2 Main,10,0,95,1.8,3.2,0,1,44.0
HIST-00041,S&T,Major,Tier-2 Main,25,0,55,3.2,1.8,0,0,46.9
HIST-00042,Engineering,Minor,Tier-1 Trunk,9,0,36,2.3,2.7,1,1,36.5
HIST-00043,Traction,Major,Tier-1 Trunk,23,0,68,2.3,1.5,1,0,52.9
HIST-00044,Traction,Major,Tier-1 Trunk,6,0,51,3.1,1.7,1,0,47.5
HIST-00045,Traction,Critical,Tier-3 Branch,7,1,69,1.6,1.6,0,1,72.8
HIST-00046,S&T,Minor,Tier-1 Trunk,13,0,22,3.3,2.0,0,1,39.2
HIST-00047,S&T,Major,Tier-3 Branch,24,0,84,3.2,2.2,1,1,44.3
HIST-00048,Engineering,Major,Tier-2 Main,21,0,70,3.9,3.2,1,0,53.4
HIST-00049,S&T,Major,Tier-3 Branch,14,0,90,3.6,1.7,1,0,36.2
HIST-00050,Engineering,Major,Tier-1 Trunk,9,1,72,2.3,2.4,0,1,80.7
HIST-00051,Engineering,Critical,Tier-2 Main,22,1,57,2.9,2.0,0,1,90.1
HIST-00052,Traction,Major,Tier-2 Main,22,1,78,2.7,3.4,0,1,80.8
HIST-00053,Traction,Minor,Tier-3 Branch,13,0,44,3.0,1.6,0,1,24.8
HIST-00054,Traction,Critical,Tier-1 Trunk,21,1,81,3.3,3.1,0,1,95.0
HIST-00055,S&T,Major,Tier-3 Branch,18,0,33,3.7,1.5,0,0,40.0
HIST-00056,Engineering,Major,Tier-1 Trunk,12,1,83,2.1,1.2,0,1,84.2
HIST-00057,S&T,Major,Tier-3 Branch,11,1,38,3.4,3.4,0,0,63.3
HIST-00058,S&T,Critical,Tier-1 Trunk,21,1,44,2.9,1.5,1,1,90.8
HIST-00059,Traction,Minor,Tier-1 Trunk,19,0,17,2.3,2.4,0,0,42.0
HIST-00060,Traction,Major,Tier-2 Main,2,0,61,1.8,2.9,1,0,33.2
HIST-00061,Engineering,Minor,Tier-2 Main,1,0,32,1.7,2.6,0,0,17.4
HIST-00062,Traction,Critical,Tier-3 Branch,20,1,88,3.3,2.1,1,1,83.0
HIST-00063,S&T,Minor,Tier-1 Trunk,25,0,44,3.6,2.5,0,0,44.8
HIST-00064,Engineering,Major,Tier-1 Trunk,24,0,78,2.3,2.2,0,1,55.0
HIST-00065,Engineering,Major,Tier-1 Trunk,8,0,65,2.0,1.6,0,0,45.1
HIST-00066,Engineering,Major,Tier-2 Main,15,0,32,1.7,1.6,1,1,41.2
HIST-00067,S&T,Major,Tier-1 Trunk,16,1,72,2.3,1.6,1,1,83.4
HIST-00068,Engineering,Major,Tier-2 Main,24,0,54,2.0,2.2,1,0,49.6
HIST-00069,S&T,Major,Tier-3 Branch,6,1,76,2.8,1.7,0,0,62.6
HIST-00070,S&T,Minor,Tier-2 Main,24,0,41,1.8,1.0,0,0,36.5
HIST-00071,Traction,Major,Tier-3 Branch,8,0,91,2.7,2.4,1,1,36.2
HIST-00072,Engineering,Minor,Tier-3 Branch,2,0,25,1.8,2.9,1,0,14.7
HIST-00073,S&T,Critical,Tier-2 Main,14,1,86,2.6,2.4,0,1,85.8
HIST-00074,S&T,Minor,Tier-1 Trunk,24,0,23,3.1,1.7,0,1,45.5
HIST-00075,Engineering,Major,Tier-1 Trunk,13,0,90,3.3,2.8,0,1,53.9
HIST-00076,Engineering,Minor,Tier-2 Main,20,0,22,2.6,2.4,1,1,36.0
HIST-00077,Traction,Minor,Tier-1 Trunk,5,0,29,3.8,2.1,0,0,28.0
HIST-00078,S&T,Major,Tier-1 Trunk,17,0,40,3.0,3.2,1,0,50.0
HIST-00079,Traction,Critical,Tier-1 Trunk,21,1,32,2.2,1.1,0,1,96.9
HIST-00080,Traction,Major,Tier-1 Trunk,8,1,85,3.1,2.2,0,1,79.9
HIST-00081,Traction,Major,Tier-1 Trunk,21,1,50,2.2,3.4,1,1,83.2
HIST-00082,Engineering,Major,Tier-1 Trunk,10,1,81,3.7,3.1,0,1,84.5
HIST-00083,S&T,Minor,Tier-1 Trunk,1,0,22,2.7,2.1,0,1,24.5
HIST-00084,S&T,Critical,Tier-1 Trunk,22,1,92,1.8,3.4,1,1,98.8
HIST-00085,Engineering,Minor,Tier-1 Trunk,0,0,45,3.6,1.3,0,0,28.0
HIST-00086,Engineering,Major,Tier-2 Main,16,0,83,3.6,3.5,0,0,49.1
HIST-00087,Engineering,Major,Tier-3 Branch,16,0,47,3.5,2.0,1,1,38.8
HIST-00088,Engineering,Major,Tier-1 Trunk,18,0,92,3.7,2.1,0,0,57.1
HIST-00089,S&T,Minor,Tier-1 Trunk,10,0,22,2.5,3.1,0,1,37.0
HIST-00090,S&T,Major,Tier-3 Branch,12,1,49,2.7,1.1,1,0,64.3
HIST-00091,Traction,Minor,Tier-3 Branch,14,0,16,3.3,2.0,1,0,20.1
HIST-00092,Engineering,Major,Tier-3 Branch,10,0,80,3.1,3.1,1,0,35.6
HIST-00093,Traction,Minor,Tier-2 Main,24,0,41,1.7,2.6,0,0,36.6
