window_id,section_id,date,day_offset,start_hour,end_hour,duration_hours,traffic_density_tier,passenger_trains_affected,is_available
WIN-SEC-001-1-001,SEC-001,2026-09-16,0,1.0,4.5,3.5,Low (Night Lull),1,True
WIN-SEC-001-1-002,SEC-001,2026-09-16,0,23.5,2.5,3.0,Low (Night Lull),1,True
WIN-SEC-001-1-003,SEC-001,2026-09-16,0,11.5,14.5,3.0,Medium (Midday),3,True
WIN-SEC-002-1-004,SEC-002,2026-09-16,0,2.0,5.0,3.0,Low (Night Lull),1,True
WIN-SEC-002-1-005,SEC-002,2026-09-16,0,1.0,4.5,3.5,Low (Night Lull),1,True
WIN-SEC-002-1-006,SEC-002,2026-09-16,0,11.5,14.5,3.0,Medium (Midday),3,True
WIN-SEC-003-1-007,SEC-003,2026-09-16,0,1.0,4.5,3.5,Low (Night Lull),0,True
WIN-SEC-003-1-008,SEC-003,2026-09-16,0,23.5,2.5,3.0,Low (Night Lull),1,True
WIN-SEC-003-1-009,SEC-003,2026-09-16,0,15.0,18.0,3.0,High (Traffic Margin),5,True
WIN-SEC-004-1-010,SEC-004,2026-09-16,0,23.5,2.5,3.0,Low (Night Lull),2,True
WIN-SEC-004-1-011,SEC-004,2026-09-16,0,15.0,18.0,3.0,High (Traffic Margin),6,True
WIN-SEC-004-1-012,SEC-004,2026-09-16,0,1.0,4.5,3.5,Low (Night Lull),0,True
WIN-SEC-005-1-013,SEC-005,2026-09-16,0,2.0,5.0,3.0,Low (Night Lull),1,True
WIN-SEC-005-1-014,SEC-005,2026-09-16,0,15.0,18.0,3.0,High (Traffic Margin),5,True
WIN-SEC-006-1-015,SEC-006,2026-09-16,0,11.5,14.5,3.0,Medium (Midday),3,True
WIN-SEC-006-1-016,SEC-006,2026-09-16,0,23.5,2.5,3.0,Low (Night Lull),1,True
WIN-SEC-007-1-017,SEC-007,2026-09-16,0,2.0,5.0,3.0,Low (Night Lull),1,True
WIN-SEC-007-1-018,SEC-007,2026-09-16,0,23.5,2.5,3.0,Low (Night Lull),1,True
WIN-SEC-008-1-019,SEC-008,2026-09-16,0,11.5,14.5,3.0,Medium (Midday),4,True
WIN-SEC-008-1-020,SEC-008,2026-09-16,0,1.0,4.5,3.5,Low (Night Lull),0,True
WIN-SEC-008-1-021,SEC-008,2026-09-16,0,15.0,18.0,3.0,High (Traffic Margin),6,True
WIN-SEC-009-1-022,SEC-009,2026-09-16,0,11.5,14.5,3.0,Medium (Midday),4,True
WIN-SEC-009-1-023,SEC-009,2026-09-16,0,23.5,2.5,3.0,Low (Night Lull),1,True
WIN-SEC-009-1-024,SEC-009,2026-09-16,0,1.0,4.5,3.5,Low (Night Lull),1,True
WIN-SEC-010-1-025,SEC-010,2026-09-16,0,1.0,4.5,3.5,Low (Night Lull),0,True
WIN-SEC-010-1-026,SEC-010,2026-09-16,0,11.5,14.5,3.0,Medium (Midday),3,True
WIN-SEC-011-1-027,SEC-011,2026-09-16,0,23.5,2.5,3.0,Low (Night Lull),1,True
WIN-SEC-011-1-028,SEC-011,2026-09-16,0,11.5,14.5,3.0,Medium (Midday),3,True
WIN-SEC-012-1-029,SEC-012,2026-09-16,0,23.5,2.5,3.0,Low (Night Lull),1,True
WIN-SEC-012-1-030,SEC-012,2026-09-16,0,2.0,5.0,3.0,Low (Night Lull),1,True
WIN-SEC-012-1-031,SEC-012,2026-09-16,0,11.5,14.5,3.0,Medium (Midday),3,True
WIN-SEC-001-2-032,SEC-001,2026-09-17,1,11.5,14.5,3.0,Medium (Midday),3,True
WIN-SEC-001-2-033,SEC-001,2026-09-17,1,1.0,4.5,3.5,Low (Night Lull),1,True
WIN-SEC-001-2-034,SEC-001,2026-09-17,1,15.0,18.0,3.0,High (Traffic Margin),6,True
WIN-SEC-002-2-035,SEC-002,2026-09-17,1,15.0,18.0,3.0,High (Traffic Margin),6,True
WIN-SEC-002-2-036,SEC-002,2026-09-17,1,11.5,14.5,3.0,Medium (Midday),4,True
WIN-SEC-002-2-037,SEC-002,2026-09-17,1,1.0,4.5,3.5,Low (Night Lull),0,True
WIN-SEC-003-2-038,SEC-003,2026-09-17,1,11.5,14.5,3.0,Medium (Midday),3,True
WIN-SEC-003-2-039,SEC-003,2026-09-17,1,1.0,4.5,3.5,Low (Night Lull),0,True
WIN-SEC-003-2-040,SEC-003,2026-09-17,1,23.5,2.5,3.0,Low (Night Lull),1,True
WIN-SEC-004-2-041,SEC-004,2026-09-17,1,15.0,18.0,3.0,High (Traffic Margin),5,True
WIN-SEC-004-2-042,SEC-004,2026-09-17,1,23.5,2.5,3.0,Low (Night Lull),2,True
WIN-SEC-004-2-043,SEC-004,2026-09-17,1,2.0,5.0,3.0,Low (Night Lull),1,True
WIN-SEC-005-2-044,SEC-005,2026-09-17,1,2.0,5.0,3.0,Low (Night Lull),1,True
WIN-SEC-005-2-045,SEC-005,2026-09-17,1,1.0,4.5,3.5,Low (Night Lull),0,True
WIN-SEC-006-2-046,SEC-006,2026-09-17,1,11.5,14.5,3.0,Medium (Midday),3,True
WIN-SEC-006-2-047,SEC-006,2026-09-17,1,15.0,18.0,3.0,High (Traffic Margin),5,True
WIN-SEC-007-2-048,SEC-007,2026-09-17,1,11.5,14.5,3.0,Medium (Midday),3,True
WIN-SEC-007-2-049,SEC-007,2026-09-17,1,1.0,4.5,3.5,Low (Night Lull),0,True
WIN-SEC-008-2-050,SEC-008,2026-09-17,1,2.0,5.0,3.0,Low (Night Lull),2,True
WIN-SEC-008-2-051,SEC-008,2026-09-17,1,11.5,14.5,3.0,Medium (Midday),4,True
WIN-SEC-008-2-052,SEC-008,2026-09-17,1,1.0,4.5,3.5,Low (Night Lull),1,True
WIN-SEC-009-2-053,SEC-009,2026-09-17,1,2.0,5.0,3.0,Low (Night Lull),1,True
WIN-SEC-009-2-054,SEC-009,2026-09-17,1,11.5,14.5,3.0,Medium (Midday),4,True
WIN-SEC-009-2-055,SEC-009,2026-09-17,1,1.0,4.5,3.5,Low (Night Lull),1,True
WIN-SEC-010-2-056,SEC-010,2026-09-17,1,23.5,2.5,3.0,Low (Night Lull),1,True
WIN-SEC-010-2-057,SEC-010,2026-09-17,1,15.0,18.0,3.0,High (Traffic Margin),5,True
WIN-SEC-011-2-058,SEC-011,2026-09-17,1,11.5,14.5,3.0,Medium (Midday),3,True
WIN-SEC-011-2-059,SEC-011,2026-09-17,1,2.0,5.0,3.0,Low (Night Lull),1,True
WIN-SEC-012-2-060,SEC-012,2026-09-17,1,2.0,5.0,3.0,Low (Night Lull),1,True
WIN-SEC-012-2-061,SEC-012,2026-09-17,1,15.0,18.0,3.0,High (Traffic Margin),5,True
WIN-SEC-012-2-062,SEC-012,2026-09-17,1,1.0,4.5,3.5,Low (Night Lull),0,True
WIN-SEC-001-3-063,SEC-001,2026-09-18,2,2.0,5.0,3.0,Low (Night Lull),1,True
WIN-SEC-001-3-064,SEC-001,2026-09-18,2,15.0,18.0,3.0,High (Traffic Margin),6,True
WIN-SEC-001-3-065,SEC-001,2026-09-18,2,11.5,14.5,3.0,Medium (Midday),4,True
WIN-SEC-002-3-066,SEC-002,2026-09-18,2,23.5,2.5,3.0,Low (Night Lull),2,True
WIN-SEC-002-3-067,SEC-002,2026-09-18,2,15.0,18.0,3.0,High (Traffic Margin),5,True
WIN-SEC-002-3-068,SEC-002,2026-09-18,2,11.5,14.5,3.0,Medium (Midday),3,True
WIN-SEC-003-3-069,SEC-003,2026-09-18,2,23.5,2.5,3.0,Low (Night Lull),2,True
WIN-SEC-003-3-070,SEC-003,2026-09-18,2,11.5,14.5,3.0,Medium (Midday),3,True
WIN-SEC-003-3-071,SEC-003,2026-09-18,2,15.0,18.0,3.0,High (Traffic Margin),6,True
WIN-SEC-004-3-072,SEC-004,2026-09-18,2,15.0,18.0,3.0,High (Traffic Margin),5,True
WIN-SEC-004-3-073,SEC-004,2026-09-18,2,2.0,5.0,3.0,Low (Night Lull),2,True
WIN-SEC-004-3-074,SEC-004,2026-09-18,2,23.5,2.5,3.0,Low (Night Lull),1,True
WIN-SEC-005-3-075,SEC-005,2026-09-18,2,23.5,2.5,3.0,Low (Night Lull),1,True
WIN-SEC-005-3-076,SEC-005,2026-09-18,2,1.0,4.5,3.5,Low (Night Lull),0,True
WIN-SEC-006-3-077,SEC-006,2026-09-18,2,11.5,14.5,3.0,Medium (Midday),3,True
WIN-SEC-006-3-078,SEC-006,2026-09-18,2,2.0,5.0,3.0,Low (Night Lull),1,True
WIN-SEC-007-3-079,SEC-007,2026-09-18,2,2.0,5.0,3.0,Low (Night Lull),1,True
WIN-SEC-007-3-080,SEC-007,2026-09-18,2,11.5,14.5,3.0,Medium (Midday),3,True
WIN-SEC-008-3-081,SEC-008,2026-09-18,2,2.0,5.0,3.0,Low (Night Lull),2,True
WIN-SEC-008-3-082,SEC-008,2026-09-18,2,1.0,4.5,3.5,Low (Night Lull),1,True
WIN-SEC-008-3-083,SEC-008,2026-09-18,2,11.5,14.5,3.0,Medium (Midday),3,True
WIN-SEC-009-3-084,SEC-009,2026-09-18,2,1.0,4.5,3.5,Low (Night Lull),0,True
WIN-SEC-009-3-085,SEC-009,2026-09-18,2,11.5,14.5,3.0,Medium (Midday),3,True
WIN-SEC-009-3-086,SEC-009,2026-09-18,2,2.0,5.0,3.0,Low (Night Lull),1,True
WIN-SEC-010-3-087,SEC-010,2026-09-18,2,23.5,2.5,3.0,Low (Night Lull),1,True
WIN-SEC-010-3-088,SEC-010,2026-09-18,2,1.0,4.5,3.5,Low (Night Lull),0,True
WIN-SEC-011-3-089,SEC-011,2026-09-18,2,1.0,4.5,3.5,Low (Night Lull),0,True
WIN-SEC-011-3-090,SEC-011,2026-09-18,2,15.0,18.0,3.0,High (Traffic Margin),5,True
WIN-SEC-012-3-091,SEC-012,2026-09-18,2,1.0,4.5,3.5,Low (Night Lull),1,True
WIN-SEC-012-3-092,SEC-012,2026-09-18,2,2.0,5.0,3.0,Low (Night Lull),1,True
WIN-SEC-012-3-093,SEC-012,2026-09-18,2,23.5,2.5,3.0,Low (Night Lull),2,True
WIN-SEC-001-4-094,SEC-001,2026-09-19,3,23.5,2.5,3.0,Low (Night Lull),1,True
WIN-SEC-001-4-095,SEC-001,2026-09-19,3,15.0,18.0,3.0,High (Traffic Margin),6,True
WIN-SEC-001-4-096,SEC-001,2026-09-19,3,1.0,4.5,3.5,Low (Night Lull),1,True
WIN-SEC-002-4-097,SEC-002,2026-09-19,3,11.5,14.5,3.0,Medium (Midday),4,True
WIN-SEC-002-4-098,SEC-002,2026-09-19,3,15.0,18.0,3.0,High (Traffic Margin),5,True
WIN-SEC-002-4-099,SEC-002,2026-09-19,3,23.5,2.5,3.0,Low (Night Lull),1,True
WIN-SEC-003-4-100,SEC-003,2026-09-19,3,2.0,5.0,3.0,Low (Night Lull),1,True
WIN-SEC-003-4-101,SEC-003,2026-09-19,3,1.0,4.5,3.5,Low (Night Lull),0,True
WIN-SEC-003-4-102,SEC-003,2026-09-19,3,23.5,2.5,3.0,Low (Night Lull),1,True
WIN-SEC-004-4-103,SEC-004,2026-09-19,3,1.0,4.5,3.5,Low (Night Lull),0,True
WIN-SEC-004-4-104,SEC-004,2026-09-19,3,23.5,2.5,3.0,Low (Night Lull),1,True
